State,Disease,Year,Month,Cases,Monthly_Avg_AQI
Andaman and Nicobar Islands,Acute Diarrheal Disease,2023,8,18,
Andaman and Nicobar Islands,Acute Diarrheal Disease,2024,6,76,
Andaman and Nicobar Islands,Chickenpox,2024,8,7,
Andaman and Nicobar Islands,Fever with Rash,2024,10,8,
Andhra Pradesh,Acute Diarrheal Disease,2023,3,22,94.27272727272727
Andhra Pradesh,Acute Diarrheal Disease,2023,6,54,64.91189427312776
Andhra Pradesh,Acute Diarrheal Disease,2023,7,27,43.792270531400966
Andhra Pradesh,Acute Diarrheal Disease,2023,8,120,60.300925925925924
Andhra Pradesh,Acute Diarrheal Disease,2023,9,270,50.03
Andhra Pradesh,Acute Diarrheal Disease,2023,10,38,93.85909090909091
Andhra Pradesh,Acute Diarrheal Disease,2023,11,133,81.67579908675799
Andhra Pradesh,Acute Diarrheal Disease,2023,12,30,103.39285714285714
Andhra Pradesh,Acute Diarrheal Disease,2024,1,55,109.47804878048781
Andhra Pradesh,Acute Diarrheal Disease,2024,2,284,75.41395348837209
Andhra Pradesh,Acute Diarrheal Disease,2024,4,336,70.73711340206185
Andhra Pradesh,Acute Diarrheal Disease,2024,5,175,65.28217821782178
Andhra Pradesh,Acute Diarrheal Disease,2024,6,238,61.30653266331658
Andhra Pradesh,Acute Diarrheal Disease,2024,7,269,55.64018691588785
Andhra Pradesh,Acute Diarrheal Disease,2024,8,481,52.04950495049505
Andhra Pradesh,Acute Diarrheal Disease,2024,9,111,57.832460732984295
Andhra Pradesh,Acute Diarrheal Disease,2024,10,115,66.65315315315316
Andhra Pradesh,Acute Diarrheal Disease,2024,11,138,98.06726457399103
Andhra Pradesh,Acute Diarrheal Disease,2024,12,155,85.73333333333333
Andhra Pradesh,Acute Diarrheal Disease,2025,1,64,114.1859296482412
Andhra Pradesh,Acute Diarrheal Disease,2025,2,33,90.11467889908256
Andhra Pradesh,Acute Diarrheal Disease,2025,3,19,69.29296875
Andhra Pradesh,Acute Diarrheal Disease,2025,4,22,70.9957264957265
Andhra Pradesh,Acute diarrheal disease (Klebsiella),2023,5,32,70.0909090909091
