,state,total_ev_vehicles,total_vehicles,ev_percentage,State,avg_aqi
0,Tripura,22631,178931,12.647892204257507,Tripura,126.6975845410628
1,Delhi,245938,2086374,11.78781944176835,Delhi,206.41688888888888
2,Chandigarh,17888,154562,11.573349206143813,Chandigarh,141.5617777777778
3,Assam,183428,1889297,9.70879644650894,Assam,114.11745580166632
4,Kerala,226600,2357315,9.612631319955119,Kerala,68.07014711158952
5,Karnataka,480191,5413304,8.870571466150801,Karnataka,62.67285264322806
6,Uttar Pradesh,921471,10782843,8.545714706223581,Uttar Pradesh,126.42403628117914
7,Maharashtra,650823,8287915,7.852674647363059,Maharashtra,103.6398325838194
8,Bihar,280947,4009485,7.007059510136589,Bihar,157.15812183918712
9,Uttarakhand,55704,806947,6.903055591011553,Uttarakhand,87.89879931389365
10,Odisha,153213,2260339,6.778319535255552,Odisha,124.87971889359402
11,Rajasthan,305605,4679976,6.530054854982162,Rajasthan,127.98724844837314
12,Chhattisgarh,117666,1837962,6.401982195496969,Chhattisgarh,78.98632109431246
13,Tamil Nadu,329634,5725062,5.75773677210832,Tamil Nadu,67.75765434164296
14,Jammu And Kashmir,30785,535491,5.748929487143575,Jammu And Kashmir,69.49543378995433
15,Puducherry,10136,182420,5.5564082885648505,Puducherry,56.51401869158879
16,Madhya Pradesh,238701,4739489,5.0364290327501555,Madhya Pradesh,108.71648252245267
17,Punjab,100630,2009456,5.007823012795503,Punjab,117.85426484448634
18,Andhra Pradesh,128600,2651214,4.8506080610618385,Andhra Pradesh,77.50770100324996
19,Gujarat,251194,5544798,4.530264222429744,Gujarat,110.6342719227675
20,Haryana,115076,2742665,4.195773089312767,Haryana,140.85280567585
21,Jharkhand,67695,1704838,3.9707585119524555,Jharkhand,164.94036061026353
22,West Bengal,98668,3317399,2.97425784477538,West Bengal,114.19289120069354
23,Dadra And Nagar Haveli And Daman And Diu,983,69696,1.410410927456382,,
24,Manipur,1394,104848,1.3295437204333893,Manipur,100.9273607748184
25,Lakshadweep,11,850,1.2941176470588236,,
26,Mizoram,1095,89128,1.2285701463064358,Mizoram,47.247
27,Himachal Pradesh,4963,418354,1.1863158951509964,Himachal Pradesh,160.25703564727954
28,Meghalaya,1175,123763,0.9493952150481162,Meghalaya,62.73112128146453
29,Andaman And Nicobar Islands,165,24795,0.6654567453115547,Andaman And Nicobar Islands,57.706896551724135
30,Ladakh,84,16851,0.4984867366921844,,
31,Arunachal Pradesh,195,99736,0.19551616266944735,Arunachal Pradesh,54.485265225933205
32,Nagaland,84,83908,0.10010964389569528,Nagaland,80.45872518286312
33,Sikkim,29,34154,0.08490952743456111,Sikkim,53.688995215311
