state,term,search_interest
Andaman and Nicobar Islands,aqi,73
Andhra Pradesh,aqi,75
Arunachal Pradesh,aqi,68
Assam,aqi,78
Bihar,aqi,85
Chandigarh,aqi,79
Chhattisgarh,aqi,73
Dadra and Nagar Haveli,aqi,79
Daman and Diu,aqi,76
Delhi,aqi,88
Goa,aqi,76
Gujarat,aqi,77
Haryana,aqi,86
Himachal Pradesh,aqi,70
Jammu and Kashmir,aqi,64
Jharkhand,aqi,71
Karnataka,aqi,76
Kerala,aqi,72
Lakshadweep,aqi,0
Madhya Pradesh,aqi,82
Maharashtra,aqi,77
Manipur,aqi,69
Meghalaya,aqi,71
Mizoram,aqi,70
Nagaland,aqi,65
Odisha,aqi,81
Puducherry,aqi,74
Punjab,aqi,75
Rajasthan,aqi,79
Sikkim,aqi,70
Tamil Nadu,aqi,74
Telangana,aqi,74
Tripura,aqi,75
Uttar Pradesh,aqi,85
Uttarakhand,aqi,81
West Bengal,aqi,78
