Area,PM10_2022,PM10_2023,PM10_2024,PM10_2025,PM2.5_2022,PM2.5_2023,PM2.5_2024,PM2.5_2025
Ahmedabad,95.0,93.66037735849056,67.96,93.0,178.88235294117646,144.83582089552237,142.48299319727892,145.60526315789474
Begusarai,94.51515151515152,206.0921052631579,166.75,126.3,283.5408163265306,317.0866141732283,165.6,181.6949152542373
Bengaluru,62.525,66.3089430894309,72.21333333333334,79.58333333333333,128.44444444444446,116.0,99.5,104.125
Bhopal,117.130081300813,90.23225806451613,91.15131578947368,115.76470588235294,216.54761904761904,202.91666666666666,207.6888888888889,165.83333333333334
Chennai,70.4,70.0,67.85714285714286,71.27777777777777,159.66666666666666,112.63414634146342,111.25,127.63636363636364
Delhi,252.66666666666666,156.16216216216216,166.97727272727272,236.61111111111111,313.4146341463415,288.1391304347826,324.54545454545456,282.86486486486484
Ghaziabad,204.39830508474577,154.23333333333332,127.1900826446281,93.25,287.5853658536585,271.8970588235294,266.9207920792079,215.05357142857142
Gurugram,136.67857142857142,97.4,104.66666666666667,134.66666666666666,267.48275862068965,215.5648854961832,216.45390070921985,209.73529411764707
Hyderabad,85.42857142857143,80.8015873015873,64.79166666666667,85.34210526315789,116.9090909090909,108.75,109.35897435897436,103.6
Indore,108.93991416309012,97.96521739130435,84.96428571428571,85.22727272727273,159.0,181.7536231884058,127.95454545454545,116.5
Jaipur,116.13235294117646,103.76068376068376,118.59375,129.1578947368421,189.75,211.36666666666667,219.66101694915255,184.0
Kolkata,70.25,63.91304347826087,80.3859649122807,79.4074074074074,235.69230769230768,184.28205128205127,191.5056179775281,160.1851851851852
Mumbai,107.5,88.01785714285714,60.46376811594203,87.3125,271.0,154.66666666666666,150.65,134.375
Nagpur,71.2421052631579,75.81954887218045,73.78217821782178,100.6,180.95876288659792,166.45578231292518,171.77215189873417,170.65384615384616
Pune,221.66666666666666,116.5,55.333333333333336,105.0,133.6451612903226,166.225,155.22727272727272,137.1818181818182
