,area,month,state,aqi_value
0,Agartala,2022-04,Tripura,66.93333333333334
1,Agartala,2022-05,Tripura,54.58064516129032
2,Agartala,2022-06,Tripura,40.5
3,Agartala,2022-07,Tripura,34.935483870967744
4,Agartala,2022-08,Tripura,42.833333333333336
5,Agartala,2022-09,Tripura,42.86666666666667
6,Agartala,2022-10,Tripura,69.58064516129032
7,Agartala,2022-11,Tripura,132.3
8,Agartala,2022-12,Tripura,230.41935483870967
9,Agartala,2023-01,Tripura,226.7741935483871
10,Agartala,2023-02,Tripura,228.55555555555554
11,Agartala,2023-03,Tripura,191.51612903225808
12,Agartala,2023-04,Tripura,191.66666666666666
13,Agartala,2023-05,Tripura,127.51612903225806
14,Agartala,2023-06,Tripura,103.20689655172414
15,Agartala,2023-07,Tripura,56.77777777777778
16,Agartala,2023-08,Tripura,101.16666666666667
17,Agartala,2023-09,Tripura,86.88
18,Agartala,2023-10,Tripura,151.0
19,Agartala,2023-11,Tripura,174.59259259259258
20,Agartala,2023-12,Tripura,198.55172413793105
21,Agartala,2024-01,Tripura,261.0
22,Agartala,2024-02,Tripura,232.16
23,Agartala,2024-03,Tripura,173.33333333333334
24,Agartala,2024-04,Tripura,133.86206896551724
25,Agartala,2024-05,Tripura,92.08
26,Agartala,2024-06,Tripura,65.03448275862068
27,Agartala,2024-07,Tripura,49.55172413793103
28,Agartala,2024-08,Tripura,56.82608695652174
29,Agartala,2024-09,Tripura,65.11764705882354
30,Agartala,2024-10,Tripura,96.21052631578948
31,Agartala,2024-11,Tripura,146.6
32,Agartala,2024-12,Tripura,236.96774193548387
33,Agartala,2025-01,Tripura,165.3448275862069
34,Agartala,2025-02,Tripura,99.75
35,Agartala,2025-03,Tripura,82.96551724137932
36,Agartala,2025-04,Tripura,110.3
37,Agra,2022-04,Uttar Pradesh,142.53333333333333
38,Agra,2022-05,Uttar Pradesh,126.06451612903226
39,Agra,2022-06,Uttar Pradesh,102.36666666666666
40,Agra,2022-07,Uttar Pradesh,37.483870967741936
41,Agra,2022-08,Uttar Pradesh,40.29032258064516
42,Agra,2022-09,Uttar Pradesh,45.43333333333333
43,Agra,2022-10,Uttar Pradesh,105.29032258064517
44,Agra,2022-11,Uttar Pradesh,119.53333333333333
45,Agra,2022-12,Uttar Pradesh,104.41935483870968
46,Agra,2023-01,Uttar Pradesh,87.87096774193549
47,Agra,2023-02,Uttar Pradesh,55.0
48,Agra,2023-03,Uttar Pradesh,57.483870967741936
49,Agra,2023-04,Uttar Pradesh,72.46666666666667
50,Agra,2023-05,Uttar Pradesh,72.96774193548387
51,Agra,2023-06,Uttar Pradesh,75.56666666666666
52,Agra,2023-07,Uttar Pradesh,57.70967741935484
53,Agra,2023-08,Uttar Pradesh,78.48387096774194
54,Agra,2023-09,Uttar Pradesh,74.36666666666666
55,Agra,2023-10,Uttar Pradesh,107.80645161290323
56,Agra,2023-11,Uttar Pradesh,142.63333333333333
57,Agra,2023-12,Uttar Pradesh,106.29032258064517
58,Agra,2024-01,Uttar Pradesh,121.25806451612904
59,Agra,2024-02,Uttar Pradesh,71.82758620689656
60,Agra,2024-03,Uttar Pradesh,71.03225806451613
61,Agra,2024-04,Uttar Pradesh,70.03333333333333
62,Agra,2024-05,Uttar Pradesh,79.03225806451613
63,Agra,2024-06,Uttar Pradesh,61.36666666666667
64,Agra,2024-07,Uttar Pradesh,38.096774193548384
65,Agra,2024-08,Uttar Pradesh,31.161290322580644
66,Agra,2024-09,Uttar Pradesh,42.2
67,Agra,2024-10,Uttar Pradesh,94.93548387096774
68,Agra,2024-11,Uttar Pradesh,141.4
69,Agra,2024-12,Uttar Pradesh,108.70967741935483
70,Agra,2025-01,Uttar Pradesh,93.36666666666666
71,Agra,2025-02,Uttar Pradesh,77.64285714285714
72,Agra,2025-03,Uttar Pradesh,92.19354838709677
73,Agra,2025-04,Uttar Pradesh,109.7
74,Ahmedabad,2022-04,Gujarat,129.2
75,Ahmedabad,2022-05,Gujarat,153.5483870967742
76,Ahmedabad,2022-06,Gujarat,90.43333333333334
77,Ahmedabad,2022-07,Gujarat,72.86666666666666
78,Ahmedabad,2022-08,Gujarat,72.36666666666666
79,Ahmedabad,2022-09,Gujarat,70.66666666666667
80,Ahmedabad,2022-10,Gujarat,137.19354838709677
81,Ahmedabad,2022-11,Gujarat,131.9
82,Ahmedabad,2022-12,Gujarat,122.93103448275862
