City,level_1,pollutants,avg_aqi_2022_2025,Good,Moderate,Poor,Satisfactory,Severe,Very Poor
Agartala,top1_pollutant,PM2.5 (583),126.6975845410628,220,249,215,318,0,33
Agartala,top2_pollutant,PM10 (457),126.6975845410628,220,249,215,318,0,33
Agartala,top3_pollutant,O3 (64),126.6975845410628,220,249,215,318,0,33
Agartala,top4_pollutant,SO2 (52),126.6975845410628,220,249,215,318,0,33
Agartala,top5_pollutant,CO (2),126.6975845410628,220,249,215,318,0,33
Agra,top1_pollutant,PM10 (953),84.2328888888889,248,330,12,535,0,0
Agra,top2_pollutant,PM2.5 (522),84.2328888888889,248,330,12,535,0,0
Agra,top3_pollutant,O3 (180),84.2328888888889,248,330,12,535,0,0
Agra,top4_pollutant,NO2 (105),84.2328888888889,248,330,12,535,0,0
Agra,top5_pollutant,SO2 (64),84.2328888888889,248,330,12,535,0,0
Ahmedabad,top1_pollutant,PM2.5 (708),113.5985727029438,26,632,33,430,0,0
Ahmedabad,top2_pollutant,PM10 (675),113.5985727029438,26,632,33,430,0,0
Ahmedabad,top3_pollutant,NO2 (138),113.5985727029438,26,632,33,430,0,0
Ahmedabad,top4_pollutant,O3 (130),113.5985727029438,26,632,33,430,0,0
Ahmedabad,top5_pollutant,CO (95),113.5985727029438,26,632,33,430,0,0
Ahmednagar,top1_pollutant,PM10 (194),121.683908045977,30,162,38,118,0,0
Ahmednagar,top2_pollutant,O3 (109),121.683908045977,30,162,38,118,0,0
Ahmednagar,top3_pollutant,PM2.5 (38),121.683908045977,30,162,38,118,0,0
Ahmednagar,top4_pollutant,CO (7),121.683908045977,30,162,38,118,0,0
Aizawl,top1_pollutant,PM10 (847),47.247,630,70,0,300,0,0
Aizawl,top2_pollutant,SO2 (69),47.247,630,70,0,300,0,0
Aizawl,top3_pollutant,O3 (56),47.247,630,70,0,300,0,0
Aizawl,top4_pollutant,CO (26),47.247,630,70,0,300,0,0
Aizawl,top5_pollutant,PM2.5 (2),47.247,630,70,0,300,0,0
Ajmer,top1_pollutant,PM10 (742),101.08522727272727,36,413,29,578,0,0
Ajmer,top2_pollutant,PM2.5 (235),101.08522727272727,36,413,29,578,0,0
Ajmer,top3_pollutant,O3 (71),101.08522727272727,36,413,29,578,0,0
Ajmer,top4_pollutant,NO2 (5),101.08522727272727,36,413,29,578,0,0
Ajmer,top5_pollutant,CO (2),101.08522727272727,36,413,29,578,0,0
Akola,top1_pollutant,PM10 (617),94.29881656804734,130,270,12,260,0,4
Akola,top2_pollutant,PM2.5 (49),94.29881656804734,130,270,12,260,0,4
Akola,top3_pollutant,CO (7),94.29881656804734,130,270,12,260,0,4
Akola,top4_pollutant,O3 (3),94.29881656804734,130,270,12,260,0,4
Alwar,top1_pollutant,PM10 (834),89.92882882882883,54,259,25,772,0,0
Alwar,top2_pollutant,PM2.5 (194),89.92882882882883,54,259,25,772,0,0
Alwar,top3_pollutant,NO2 (63),89.92882882882883,54,259,25,772,0,0
Alwar,top4_pollutant,CO (18),89.92882882882883,54,259,25,772,0,0
Alwar,top5_pollutant,O3 (1),89.92882882882883,54,259,25,772,0,0
Amaravati,top1_pollutant,PM10 (503),68.97641509433963,436,160,29,435,0,0
Amaravati,top2_pollutant,O3 (217),68.97641509433963,436,160,29,435,0,0
Amaravati,top3_pollutant,CO (173),68.97641509433963,436,160,29,435,0,0
Amaravati,top4_pollutant,PM2.5 (156),68.97641509433963,436,160,29,435,0,0
Amaravati,top5_pollutant,NO2 (7),68.97641509433963,436,160,29,435,0,0
Ambala,top1_pollutant,PM2.5 (367),111.2,84,364,53,391,1,7
Ambala,top2_pollutant,PM10 (343),111.2,84,364,53,391,1,7
Ambala,top3_pollutant,CO (113),111.2,84,364,53,391,1,7
Ambala,top4_pollutant,O3 (46),111.2,84,364,53,391,1,7
Ambala,top5_pollutant,NO2 (21),111.2,84,364,53,391,1,7
Amravati,top1_pollutant,PM10 (612),90.86023054755043,161,276,9,247,0,1
Amravati,top2_pollutant,PM2.5 (102),90.86023054755043,161,276,9,247,0,1
Amravati,top3_pollutant,O3 (82),90.86023054755043,161,276,9,247,0,1
Amravati,top4_pollutant,CO (16),90.86023054755043,161,276,9,247,0,1
Amritsar,top1_pollutant,PM2.5 (514),121.93275696445725,17,469,98,448,0,9
Amritsar,top2_pollutant,PM10 (391),121.93275696445725,17,469,98,448,0,9
Amritsar,top3_pollutant,O3 (70),121.93275696445725,17,469,98,448,0,9
Amritsar,top4_pollutant,CO (39),121.93275696445725,17,469,98,448,0,9
Amritsar,top5_pollutant,NO2 (27),121.93275696445725,17,469,98,448,0,9
Anantapur,top1_pollutant,PM10 (536),67.1964956195244,209,65,0,525,0,0
Anantapur,top2_pollutant,PM2.5 (123),67.1964956195244,209,65,0,525,0,0
Anantapur,top3_pollutant,O3 (117),67.1964956195244,209,65,0,525,0,0
Anantapur,top4_pollutant,CO (17),67.1964956195244,209,65,0,525,0,0
Anantapur,top5_pollutant,NO2 (4),67.1964956195244,209,65,0,525,0,0
Angul,top1_pollutant,PM2.5 (260),163.70137524557956,23,203,123,124,0,36
Angul,top2_pollutant,PM10 (135),163.70137524557956,23,203,123,124,0,36
Angul,top3_pollutant,CO (57),163.70137524557956,23,203,123,124,0,36
Angul,top4_pollutant,O3 (53),163.70137524557956,23,203,123,124,0,36
Angul,top5_pollutant,NO2 (3),163.70137524557956,23,203,123,124,0,36
Ankleshwar,top1_pollutant,PM2.5 (414),108.85535900104058,63,363,78,456,0,1
Ankleshwar,top2_pollutant,PM10 (268),108.85535900104058,63,363,78,456,0,1
Ankleshwar,top3_pollutant,CO (173),108.85535900104058,63,363,78,456,0,1
Ankleshwar,top4_pollutant,O3 (53),108.85535900104058,63,363,78,456,0,1
Ankleshwar,top5_pollutant,NO2 (45),108.85535900104058,63,363,78,456,0,1
Araria,top1_pollutant,PM2.5 (388),165.14439140811456,56,308,174,203,0,97
Araria,top2_pollutant,PM10 (340),165.14439140811456,56,308,174,203,0,97
Araria,top3_pollutant,CO (63),165.14439140811456,56,308,174,203,0,97
Araria,top4_pollutant,O3 (37),165.14439140811456,56,308,174,203,0,97
Araria,top5_pollutant,NO2 (10),165.14439140811456,56,308,174,203,0,97
Ariyalur,top1_pollutant,PM10 (399),51.66954022988506,423,37,3,233,0,0
Ariyalur,top2_pollutant,NO2 (112),51.66954022988506,423,37,3,233,0,0
Ariyalur,top3_pollutant,PM2.5 (109),51.66954022988506,423,37,3,233,0,0
Ariyalur,top4_pollutant,SO2 (58),51.66954022988506,423,37,3,233,0,0
Ariyalur,top5_pollutant,CO (18),51.66954022988506,423,37,3,233,0,0
Arrah,top1_pollutant,PM10 (420),153.5997693194925,46,343,126,260,0,92
Arrah,top2_pollutant,PM2.5 (291),153.5997693194925,46,343,126,260,0,92
Arrah,top3_pollutant,O3 (105),153.5997693194925,46,343,126,260,0,92
