,area,month,aqi_value
0,Ahmedabad,2022-04,129.2
1,Ahmedabad,2022-05,153.5483870967742
2,Ahmedabad,2022-06,90.43333333333334
3,Ahmedabad,2022-07,72.86666666666666
4,Ahmedabad,2022-08,72.36666666666666
5,Ahmedabad,2022-09,70.66666666666667
6,Ahmedabad,2022-10,137.19354838709677
7,Ahmedabad,2022-11,131.9
8,Ahmedabad,2022-12,122.93103448275862
9,Ahmedabad,2023-01,130.0
10,Ahmedabad,2023-02,157.82142857142858
11,Ahmedabad,2023-03,129.1290322580645
12,Ahmedabad,2023-04,115.33333333333333
13,Ahmedabad,2023-05,112.25806451612904
14,Ahmedabad,2023-06,82.26666666666667
15,Ahmedabad,2023-07,80.54838709677419
16,Ahmedabad,2023-08,74.35483870967742
17,Ahmedabad,2023-09,76.7
18,Ahmedabad,2023-10,122.96774193548387
19,Ahmedabad,2023-11,134.9
20,Ahmedabad,2023-12,108.87096774193549
21,Ahmedabad,2024-01,133.48387096774192
22,Ahmedabad,2024-02,125.65517241379311
23,Ahmedabad,2024-03,138.2258064516129
24,Ahmedabad,2024-04,119.93333333333334
25,Ahmedabad,2024-05,134.3548387096774
26,Ahmedabad,2024-06,101.36666666666666
27,Ahmedabad,2024-07,72.61290322580645
28,Ahmedabad,2024-08,58.645161290322584
29,Ahmedabad,2024-09,70.76666666666667
30,Ahmedabad,2024-10,124.83870967741936
31,Ahmedabad,2024-11,152.96666666666667
32,Ahmedabad,2024-12,140.80645161290323
33,Ahmedabad,2025-01,126.5
34,Ahmedabad,2025-02,140.85714285714286
35,Ahmedabad,2025-03,139.80645161290323
36,Ahmedabad,2025-04,119.53333333333333
37,Bengaluru,2022-04,87.3
38,Bengaluru,2022-05,72.45161290322581
39,Bengaluru,2022-06,60.03333333333333
40,Bengaluru,2022-07,64.09677419354838
41,Bengaluru,2022-08,56.806451612903224
42,Bengaluru,2022-09,59.53333333333333
43,Bengaluru,2022-10,82.25806451612904
44,Bengaluru,2022-11,93.26666666666667
45,Bengaluru,2022-12,84.2258064516129
46,Bengaluru,2023-01,92.90322580645162
47,Bengaluru,2023-02,97.92857142857143
48,Bengaluru,2023-03,78.87096774193549
49,Bengaluru,2023-04,79.76666666666667
50,Bengaluru,2023-05,61.645161290322584
51,Bengaluru,2023-06,52.43333333333333
52,Bengaluru,2023-07,49.32258064516129
53,Bengaluru,2023-08,65.80645161290323
54,Bengaluru,2023-09,48.46666666666667
55,Bengaluru,2023-10,83.74193548387096
56,Bengaluru,2023-11,75.0
57,Bengaluru,2023-12,86.54838709677419
58,Bengaluru,2024-01,100.09677419354838
59,Bengaluru,2024-02,90.27586206896552
60,Bengaluru,2024-03,104.41935483870968
61,Bengaluru,2024-04,80.46666666666667
62,Bengaluru,2024-05,66.96774193548387
63,Bengaluru,2024-06,49.7
64,Bengaluru,2024-07,50.774193548387096
65,Bengaluru,2024-08,56.12903225806452
66,Bengaluru,2024-09,57.0
67,Bengaluru,2024-10,71.51612903225806
68,Bengaluru,2024-11,85.13333333333334
69,Bengaluru,2024-12,75.06451612903226
70,Bengaluru,2025-01,91.03333333333333
71,Bengaluru,2025-02,86.39285714285714
72,Bengaluru,2025-03,92.03225806451613
73,Bengaluru,2025-04,84.23333333333333
74,Bhopal,2022-04,138.72413793103448
75,Bhopal,2022-05,156.56666666666666
76,Bhopal,2022-06,95.20689655172414
77,Bhopal,2022-07,54.92857142857143
78,Bhopal,2022-08,65.60714285714286
79,Bhopal,2022-09,80.36666666666666
80,Bhopal,2022-10,134.16129032258064
81,Bhopal,2022-11,213.83333333333334
82,Bhopal,2022-12,167.80645161290323
83,Bhopal,2023-01,173.09677419354838
84,Bhopal,2023-02,131.39285714285714
85,Bhopal,2023-03,103.35483870967742
86,Bhopal,2023-04,102.03333333333333
87,Bhopal,2023-05,93.61290322580645
88,Bhopal,2023-06,80.7
89,Bhopal,2023-07,63.96774193548387
90,Bhopal,2023-08,75.93548387096774
91,Bhopal,2023-09,72.24137931034483
92,Bhopal,2023-10,118.58064516129032
93,Bhopal,2023-11,229.1
94,Bhopal,2023-12,161.7741935483871
95,Bhopal,2024-01,170.90322580645162
96,Bhopal,2024-02,125.07142857142857
97,Bhopal,2024-03,104.93548387096774
98,Bhopal,2024-04,92.83333333333333
99,Bhopal,2024-05,103.90322580645162
100,Bhopal,2024-06,73.56666666666666
101,Bhopal,2024-07,53.32258064516129
102,Bhopal,2024-08,53.67741935483871
103,Bhopal,2024-09,66.16666666666667
104,Bhopal,2024-10,122.12903225806451
105,Bhopal,2024-11,222.4
106,Bhopal,2024-12,176.90322580645162
107,Bhopal,2025-01,134.66666666666666
