City,population,per_capita_income,category
Delhi,34665569,461000,Tier 1
Mumbai,22088953,413000,Tier 1
Bengaluru,14395443,760000,Tier 1
Chennai,12336047,196000,Tier 1
Hyderabad,11337852,454105,Tier 1
Ahmedabad,9061819,389000,Tier 1
Pune,7525717,278000,Tier 1
Kolkata,15845219,154000,Tier 1
Surat,8581733,180000,Tier 2
Jaipur,4411107,150000,Tier 2
Patna,2689544,120000,Tier 2
Lucknow,4132671,125000,Tier 2
Coimbatore,3158723,165000,Tier 2
Visakhapatnam,2440423,160000,Tier 2
Nashik,2351139,168000,Tier 2
Meerut,1874886,130000,Tier 2
Ghaziabad,1199191,135000,Tier 2
Madurai,1911646,140000,Tier 2
Thiruvananthapuram,3072532,145000,Tier 2
Tiruchirappalli,1269897,142000,Tier 2
Kochi,3604550,281001,Tier 2
Varanasi,1826013,104126,Tier 2
Chandigarh,1266014,399654,Tier 2
Bhopal,2686291,142565,Tier 2
Indore,3482832,142565,Tier 2
Kanpur,3345367,104126,Tier 2
Nagpur,3170178,277603,Tier 2
