City,level_1,pollutants,avg_aqi_2022_2025,Good,Moderate,Poor,Satisfactory,Severe,Very Poor,population,per_capita_income,category,0
Ahmedabad,top1_pollutant,PM2.5 (708),113.5985727029438,26,632,33,430,0,0,9061819,389000,Tier 1,PM2.5 (708)
Ahmedabad,top2_pollutant,PM10 (675),113.5985727029438,26,632,33,430,0,0,9061819,389000,Tier 1,PM10 (675)
Ahmedabad,top3_pollutant,NO2 (138),113.5985727029438,26,632,33,430,0,0,9061819,389000,Tier 1,NO2 (138)
Ahmedabad,top4_pollutant,O3 (130),113.5985727029438,26,632,33,430,0,0,9061819,389000,Tier 1,O3 (130)
Ahmedabad,top5_pollutant,CO (95),113.5985727029438,26,632,33,430,0,0,9061819,389000,Tier 1,CO (95)
Bengaluru,top1_pollutant,PM10 (1035),74.88533333333334,169,143,0,813,0,0,14395443,760000,Tier 1,PM10 (1035)
Bengaluru,top2_pollutant,PM2.5 (490),74.88533333333334,169,143,0,813,0,0,14395443,760000,Tier 1,PM2.5 (490)
Bengaluru,top3_pollutant,CO (338),74.88533333333334,169,143,0,813,0,0,14395443,760000,Tier 1,CO (338)
Bengaluru,top4_pollutant,O3 (156),74.88533333333334,169,143,0,813,0,0,14395443,760000,Tier 1,O3 (156)
Bengaluru,top5_pollutant,NO2 (55),74.88533333333334,169,143,0,813,0,0,14395443,760000,Tier 1,NO2 (55)
Bhopal,top1_pollutant,PM10 (789),118.75583482944344,106,545,100,358,0,5,2686291,142565,Tier 2,PM10 (789)
Bhopal,top2_pollutant,PM2.5 (318),118.75583482944344,106,545,100,358,0,5,2686291,142565,Tier 2,PM2.5 (318)
Bhopal,top3_pollutant,O3 (302),118.75583482944344,106,545,100,358,0,5,2686291,142565,Tier 2,O3 (302)
Bhopal,top4_pollutant,CO (88),118.75583482944344,106,545,100,358,0,5,2686291,142565,Tier 2,CO (88)
Bhopal,top5_pollutant,NO2 (11),118.75583482944344,106,545,100,358,0,5,2686291,142565,Tier 2,NO2 (11)
Chandigarh,top1_pollutant,PM10 (689),141.5617777777778,63,518,177,320,1,46,1266014,399654,Tier 2,PM10 (689)
Chandigarh,top2_pollutant,PM2.5 (606),141.5617777777778,63,518,177,320,1,46,1266014,399654,Tier 2,PM2.5 (606)
Chandigarh,top3_pollutant,O3 (420),141.5617777777778,63,518,177,320,1,46,1266014,399654,Tier 2,O3 (420)
Chandigarh,top4_pollutant,CO (54),141.5617777777778,63,518,177,320,1,46,1266014,399654,Tier 2,CO (54)
Chandigarh,top5_pollutant,NO2 (6),141.5617777777778,63,518,177,320,1,46,1266014,399654,Tier 2,NO2 (6)
Chennai,top1_pollutant,PM10 (725),74.0080142475512,159,142,7,815,0,0,12336047,196000,Tier 1,PM10 (725)
Chennai,top2_pollutant,CO (584),74.0080142475512,159,142,7,815,0,0,12336047,196000,Tier 1,CO (584)
Chennai,top3_pollutant,PM2.5 (524),74.0080142475512,159,142,7,815,0,0,12336047,196000,Tier 1,PM2.5 (524)
Chennai,top4_pollutant,O3 (206),74.0080142475512,159,142,7,815,0,0,12336047,196000,Tier 1,O3 (206)
Chennai,top5_pollutant,NO2 (112),74.0080142475512,159,142,7,815,0,0,12336047,196000,Tier 1,NO2 (112)
Coimbatore,top1_pollutant,PM2.5 (416),69.56385869565217,270,117,5,342,0,2,3158723,165000,Tier 2,PM2.5 (416)
Coimbatore,top2_pollutant,PM10 (251),69.56385869565217,270,117,5,342,0,2,3158723,165000,Tier 2,PM10 (251)
Coimbatore,top3_pollutant,CO (100),69.56385869565217,270,117,5,342,0,2,3158723,165000,Tier 2,CO (100)
Coimbatore,top4_pollutant,SO2 (59),69.56385869565217,270,117,5,342,0,2,3158723,165000,Tier 2,SO2 (59)
